time,x,y
0,0.83,0.29875
1,0.83,0.29875
2,0.83,0.29875
3,0.83,0.29875
4,0.83,0.29875
5,0.83,0.29875
6,0.83,0.29875
7,0.83,0.29875
8,0.83,0.29875
9,0.83,0.29875
10,0.83,0.29875
11,0.8325,0.29875
12,0.84,0.29875
13,0.85,0.29875
14,0.87,0.29875
15,0.8875,0.29875
16,0.8925,0.3
17,0.90125,0.30125
18,0.9025,0.30375
19,0.90625,0.305
20,0.90875,0.30625
21,0.91125,0.3075
22,0.91125,0.30875
23,0.91375,0.31125
24,0.91625,0.31125
25,0.91625,0.31375
26,0.91625,0.31375
27,0.9175,0.315
28,0.92125,0.32
29,0.92125,0.32
30,0.9225,0.3225
31,0.9275,0.32875
32,0.9275,0.32875
33,0.92875,0.3325
34,0.93125,0.33625
35,0.93375,0.33875
36,0.93625,0.34125
37,0.9375,0.34375
38,0.93875,0.34625
39,0.94,0.3475
40,0.94,0.34875
41,0.94,0.35
42,0.94125,0.35125
43,0.94125,0.3525
44,0.94125,0.35375
45,0.94125,0.355
46,0.94125,0.3575
47,0.94125,0.35875
48,0.94125,0.36
49,0.94125,0.3625
50,0.94125,0.365
51,0.94125,0.36625
52,0.94125,0.36875
53,0.94125,0.3725
54,0.94,0.375
55,0.93875,0.3775
56,0.9375,0.38125
57,0.93625,0.385
58,0.935,0.38875
59,0.93375,0.39375
60,0.93375,0.39375
61,0.93,0.4
62,0.92375,0.41375
63,0.92375,0.41375
64,0.92,0.42125
65,0.91625,0.4275
66,0.91125,0.43875
67,0.9075,0.445
68,0.9025,0.45375
69,0.9,0.45875
70,0.8925,0.47625
71,0.8875,0.48625
72,0.88,0.5025
73,0.8675,0.52
74,0.835,0.57125
75,0.82,0.59625
76,0.795,0.6375
77,0.785,0.65375
78,0.78,0.66125
79,0.77375,0.66875
80,0.77,0.675
81,0.7675,0.68
82,0.765,0.685
83,0.76375,0.68625
84,0.7625,0.68875
85,0.7625,0.68875
86,0.7625,0.68875
87,0.7625,0.68875
88,0.7625,0.68875
89,0.7625,0.68875
90,0.7625,0.68875
91,0.7625,0.68875
92,0.7625,0.68875
93,0.7625,0.68875
94,0.7625,0.68875
95,0.7625,0.68875
96,0.76125,0.68875
97,0.7525,0.68875
98,0.72625,0.69625
99,0.6925,0.70875
100,0.64625,0.7225
101,0.59375,0.73625
102,0.54,0.75
103,0.49125,0.75875
104,0.4575,0.7625
105,0.42625,0.76875
106,0.4,0.7725
107,0.375,0.775
108,0.36125,0.7775
109,0.3375,0.78
110,0.3375,0.78
111,0.30375,0.78375
112,0.30375,0.78375
113,0.2875,0.785
114,0.2725,0.785
115,0.2575,0.78625
116,0.24125,0.7875
117,0.225,0.78875
118,0.21,0.78875
119,0.2,0.78875
120,0.19125,0.79
121,0.185,0.79125
122,0.18,0.79125
123,0.17875,0.79125
124,0.1775,0.79125
125,0.1775,0.7925
126,0.1775,0.7925
127,0.1775,0.7925
128,0.1775,0.7925
129,0.1775,0.7925
130,0.1775,0.7925
131,0.1775,0.7925
132,0.1775,0.7925
133,0.1775,0.7925
134,0.1775,0.7925
135,0.1775,0.7925
136,0.1775,0.7925
137,0.175,0.7925
138,0.17125,0.79125
139,0.16,0.78375
140,0.15125,0.78
141,0.1425,0.77375
142,0.135,0.76875
143,0.13125,0.76625
144,0.12875,0.76375
145,0.12625,0.76125
146,0.12375,0.76
147,0.1225,0.7575
148,0.12125,0.75625
149,0.11875,0.7525
150,0.1125,0.74875
151,0.10625,0.7425
152,0.10125,0.73625
153,0.095,0.73
154,0.0875,0.72375
155,0.0825,0.71875
156,0.07625,0.7125
157,0.07375,0.70875
158,0.07375,0.70875
159,0.06875,0.7025
160,0.06625,0.69875
161,0.0625,0.69625
162,0.06125,0.69375
163,0.06,0.69125
164,0.06,0.68875
165,0.05875,0.6875
166,0.05875,0.68625
167,0.05875,0.685
168,0.05875,0.685
169,0.05875,0.685
170,0.05875,0.68375
171,0.05875,0.6825
172,0.05875,0.6825
173,0.05875,0.68125
174,0.05875,0.68125
175,0.06,0.68
176,0.06,0.68
177,0.06125,0.68
178,0.06125,0.67875
179,0.0625,0.6775
180,0.065,0.67625
181,0.06625,0.67625
182,0.0675,0.675
183,0.06875,0.675
184,0.07,0.675
185,0.07125,0.675
186,0.0725,0.675
187,0.0725,0.675
188,0.0725,0.675
189,0.075,0.675
190,0.07625,0.675
191,0.0775,0.675
192,0.07875,0.67625
193,0.08125,0.67625
194,0.08625,0.68
195,0.0875,0.68375
196,0.08875,0.685
197,0.09125,0.68875
198,0.0925,0.69125
199,0.09375,0.695
200,0.095,0.6975
201,0.095,0.7
202,0.095,0.7
203,0.0975,0.70375
204,0.0975,0.70625
205,0.09875,0.70875
206,0.1,0.7125
207,0.1,0.7175
208,0.10125,0.72125
209,0.105,0.72625
210,0.11125,0.73125
211,0.12125,0.73625
212,0.14125,0.74625
213,0.16625,0.75375
214,0.205,0.7625
215,0.25375,0.77375
216,0.3,0.78
217,0.35,0.7875
218,0.3925,0.79
219,0.425,0.79
220,0.45375,0.79
221,0.4825,0.79
222,0.5125,0.79
223,0.55875,0.79
224,0.585,0.79125
225,0.61625,0.79375
226,0.64125,0.795
227,0.6625,0.795
228,0.675,0.795
229,0.67875,0.795
230,0.67875,0.795
231,0.67875,0.795
232,0.67875,0.795
233,0.67875,0.795
234,0.67875,0.795
235,0.67875,0.795
236,0.67875,0.795
237,0.67875,0.795
238,0.67875,0.795
239,0.67875,0.795
240,0.67875,0.795
241,0.68375,0.795
242,0.69625,0.795
243,0.69625,0.795
244,0.7425,0.8
245,0.76625,0.8025
246,0.79375,0.805
247,0.8375,0.805
248,0.855,0.805
249,0.86875,0.8025
250,0.87625,0.8
251,0.89,0.795
252,0.895,0.79125
253,0.89875,0.78875
254,0.9025,0.78625
255,0.91,0.7825
256,0.91875,0.77625
257,0.9275,0.77125
258,0.93375,0.76625
259,0.94125,0.75875
260,0.94875,0.75125
261,0.9525,0.74625
262,0.95875,0.74125
263,0.96375,0.73625
264,0.96625,0.7325
265,0.96875,0.72875
266,0.97,0.72625
267,0.9725,0.72125
268,0.975,0.71875
269,0.9775,0.71375
270,0.97875,0.71
271,0.98125,0.7075
272,0.98125,0.7075
273,0.98125,0.705
274,0.98125,0.70375
275,0.98125,0.7
276,0.98125,0.69625
277,0.98125,0.68875
278,0.98125,0.685
279,0.98125,0.68
280,0.98125,0.67625
281,0.98125,0.67375
282,0.98,0.67125
283,0.98,0.67
284,0.97875,0.66875
285,0.9775,0.6675
286,0.97625,0.6675
287,0.97625,0.6675
288,0.975,0.66625
289,0.97375,0.66625
290,0.9725,0.665
291,0.97125,0.66375
292,0.96875,0.6625
293,0.9675,0.66
294,0.96625,0.65875
295,0.965,0.65875
296,0.96375,0.65875
297,0.9625,0.6575
298,0.9625,0.6575
299,0.96125,0.6575
300,0.9575,0.65625
301,0.955,0.65625
302,0.955,0.65625
303,0.95125,0.655
304,0.9475,0.655
305,0.945,0.655
306,0.94125,0.655
307,0.93875,0.655
308,0.9375,0.655
309,0.935,0.655
310,0.935,0.655
311,0.935,0.655
312,0.93375,0.655
313,0.9325,0.655
314,0.9325,0.655
315,0.93125,0.655
316,0.93,0.655
317,0.92875,0.655
