time,x,y
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.14375,0.16375
74,0.2175,0.19875
75,0.25,0.21375
76,0.2675,0.2225
77,0.28,0.23
78,0.29,0.235
79,0.29875,0.24375
80,0.3125,0.25375
81,0.33,0.27
82,0.35,0.2825
83,0.35,0.2825
84,0.36125,0.28875
85,0.37375,0.295
86,0.39375,0.29625
87,0.4,0.29625
88,0.4,0.29625
89,0.4,0.29625
90,0.4,0.29625
91,0.4,0.29625
92,0.4,0.29625
93,0.4,0.29625
94,0.4,0.29625
95,0.4,0.29625
96,0.4,0.29625
97,0.4,0.29625
98,0.4,0.29625
99,0.4,0.29625
100,0.4,0.29625
101,0.4,0.29625
102,0.4,0.29625
103,0.4,0.29625
104,0.4,0.29625
105,0.4,0.29625
106,0.4,0.29625
107,0.4,0.29625
108,0.4,0.29625
109,0.4,0.29625
110,0.4,0.29625
111,0.4,0.29625
112,0.4,0.29625
113,0.4,0.29625
114,0.4,0.29625
115,0.4,0.29625
116,0.4,0.29625
117,0.4,0.29625
118,0.4,0.29625
119,0.4,0.29625
120,0.4,0.29625
121,0.4,0.29625
122,0.4,0.29625
123,0.4,0.29625
124,0.4,0.29625
125,0.4,0.29625
126,0.4,0.29625
127,0.4,0.29625
128,0.4,0.29625
129,0.4,0.29625
130,0.4,0.29625
131,0.4,0.29625
132,0.4,0.29625
133,0.4,0.29625
134,0.4,0.29625
135,0.4,0.29625
136,0.4,0.29625
137,0.4,0.29625
138,0.4,0.29625
139,0.4,0.29625
140,0.4,0.29625
141,0.4,0.29625
142,0.4,0.29625
143,0.4,0.29625
144,0.4,0.29625
145,0.4,0.29625
146,0.4,0.29625
147,0.4,0.29625
148,0.4,0.29625
149,0.4,0.29625
150,0.4,0.29625
151,0.4,0.29625
152,0.4,0.29625
153,0.4,0.29625
154,0.4,0.29625
155,0.4,0.29625
156,0.4,0.29625
157,0.4,0.29625
158,0.4,0.29625
159,0.4,0.29625
160,0.4,0.29625
161,0.4,0.29625
162,0.4,0.29625
163,0.4,0.29625
164,0.4,0.29625
165,0.4,0.29625
166,0.4,0.29625
167,0.4,0.29625
168,0.4,0.29625
169,0.4,0.29625
170,0.4,0.29625
171,0.4,0.29625
172,0.4,0.29625
173,0.4,0.29625
174,0.39625,0.29625
175,0.3775,0.2825
176,0.3425,0.2425
177,0.29875,0.18125
178,0.2725,0.135
179,0.2425,0.08125
180,0.2275,0.0525
181,0.21,0.025
182,0.2025,0.01375
183,0.1975,0.005
184,0.19625,0.00125
185,0.19625,0.00125
186,0.19625,0.00125
187,0.19625,0.00125
188,0.19625,0.00125
189,0.19625,0.00125
190,0.19625,0.00125
191,0.19625,0.00125
192,0.19625,0.00125
193,0.19625,0.00125
194,0.19625,0.00125
195,0.19625,0.00125
196,0.19625,0.00125
197,0.19625,0.00125
198,0.19625,0.00125
199,0.19625,0.00125
200,0.19625,0.00125
201,0.19625,0.00125
202,0.19625,0.00125
203,0.19625,0.00125
204,0.19625,0.00125
205,0.19625,0.00125
206,0.19625,0.00125
207,0.19625,0.00125
208,0.19625,0.00125
209,0.19625,0.00125
210,0.19625,0.00125
211,0.19625,0.00125
212,0.19625,0.00125
213,0.19625,0.00125
214,0.19625,0.00125
215,0.19625,0.00125
216,0.19625,0.00125
217,0.19625,0.00125
218,0.19625,0.00125
219,0.19625,0.00125
220,0.19625,0.00125
221,0.19625,0.00125
222,0.19625,0.00125
223,0.19625,0.00125
224,0.19625,0.00125
225,0.19625,0.00125
226,0.19625,0.00125
227,0.19625,0.00125
228,0.19625,0.00125
229,0.19625,0.00125
230,0.19625,0.00125
231,0.19625,0.00125
232,0.19625,0.00125
233,0.19625,0.00125
234,0.19625,0.00125
235,0.19625,0.00125
236,0.19625,0.00125
237,0.19625,0.00125
238,0.19625,0.00125
239,0.19625,0.00125
240,0.19625,0.00125
241,0.19625,0.00125
242,0.19625,0.00125
243,0.19625,0.00125
244,0.19625,0.00125
245,0.19625,0.00125
246,0.19625,0.00125
247,0.19625,0.00125
248,0.19625,0.00125
249,0.19625,0.00125
250,0.19625,0.00125
251,0.19625,0.00125
252,0.19625,0.00125
253,0.19625,0.00125
254,0.19625,0.00125
255,0.19625,0.00125
256,0.19625,0.00125
257,0.19625,0.00125
258,0.19625,0.00125
259,0.21875,0.005
260,0.22625,0.02125
261,0.23625,0.0425
262,0.2425,0.055
263,0.265,0.09875
264,0.27875,0.12625
265,0.2925,0.155
266,0.31,0.19375
267,0.32125,0.2125
268,0.32125,0.2125
269,0.32125,0.2125
270,0.32125,0.2125
271,0.32125,0.2125
272,0.32125,0.2125
273,0.32125,0.2125
274,0.32125,0.2125
275,0.32125,0.2125
276,0.32125,0.2125
277,0.32125,0.2125
278,0.32125,0.2125
279,0.32125,0.2125
280,0.32125,0.2125
281,0.32125,0.2125
282,0.32125,0.2125
283,0.32125,0.2125
284,0.32125,0.2125
285,0.32125,0.2125
286,0.32125,0.2125
287,0.32125,0.2125
288,0.32125,0.2125
289,0.32125,0.2125
290,0.32125,0.2125
291,0.32125,0.2125
292,0.32125,0.2125
293,0.32125,0.2125
294,0.32125,0.2125
295,0.32125,0.2125
296,0.32125,0.2125
297,0.32125,0.2125
298,0.32125,0.2125
299,0.32125,0.2125
300,0.32125,0.2125
301,0.32125,0.2125
302,0.32125,0.2125
303,0.32125,0.2125
304,0.32125,0.2125
305,0.32125,0.2125
306,0.32125,0.2125
307,0.32125,0.2125
308,0.32125,0.2125
309,0.32125,0.2125
310,0.32125,0.2125
311,0.32125,0.2125
312,0.32125,0.2125
313,0.32125,0.2125
314,0.32125,0.2125
315,0.32125,0.2125
316,0.32125,0.2125
317,0.32125,0.2125
318,0.32125,0.2125
319,0.32125,0.2125
320,0.32125,0.2125
321,0.32125,0.2125
322,0.32125,0.2125
323,0.32125,0.2125
324,0.32125,0.2125
325,0.32125,0.2125
326,0.32125,0.2125
327,0.32125,0.2125
328,0.32125,0.2125
329,0.32125,0.2125
330,0.32125,0.2125
331,0.32125,0.2125
332,0.32125,0.2125
333,0.32125,0.2125
334,0.32125,0.2125
335,0.32125,0.2125
336,0.32125,0.2125
337,0.32125,0.2125
338,0.32125,0.2125
339,0.32125,0.2125
340,0.32125,0.2125
341,0.32125,0.2125
342,0.32125,0.2125
343,0.32125,0.2125
344,0.32125,0.2125
345,0.32125,0.2125
346,0.32125,0.2125
347,0.32125,0.2125
348,0.32125,0.2125
349,0.32125,0.2125
350,0.32125,0.2125
351,0.32125,0.2125
352,0.32125,0.2125
353,0.32125,0.2125
354,0.32125,0.2125
355,0.32125,0.2125
356,0.32125,0.2125
357,0.32125,0.2125
358,0.32125,0.2125
359,0.32125,0.2125
360,0.32125,0.2125
361,0.32125,0.2125
362,0.32125,0.2125
363,0.32125,0.2125
364,0.32125,0.2125
365,0.32125,0.2125
366,0.32125,0.2125
367,0.32125,0.2125
368,0.32125,0.2125
369,0.32125,0.2125
370,0.32125,0.2125
371,0.32125,0.2125
372,0.32125,0.2125
373,0.32125,0.2125
374,0.32125,0.2125
375,0.32125,0.2125
376,0.32125,0.2125
